time,open,high,low,close,MACD,Signal Line,Histogram,Cross
1524096000,526.49,571.61,521.03,568.14,1.6607410479927012,-24.474767141455896,26.135508189448597,NaN
1524182400,568.14,622.17,556.5,617.09,11.310465028346357,-16.842101751756395,28.152566780102752,NaN
1524268800,616.8,624.5,570.23,604.87,17.767081081007007,-9.702259237489386,27.469340318496393,NaN
1524355200,604.87,643.49,589,620.92,23.90355142333658,-2.8826734333233555,26.786224856659935,NaN
1524441600,620.67,649.11,618.02,645.09,30.367013356234793,3.755418085799969,26.611595270434822,NaN
1524528000,644.58,712.99,643.76,701.58,39.59124121413231,10.399825005312916,29.191416208819394,NaN
1524614400,701.16,703.3,593.83,618,39.69966769864891,16.431364551246208,23.2683031474027,NaN
1524700800,617.73,666.19,600,661.51,42.80308254892657,22.378541269302566,20.424541279624002,NaN
1524787200,661.51,686.82,635.73,643.46,43.306862473800265,27.82330065249174,15.483561821308527,NaN
1524873600,643.41,694.9,638.76,682.86,46.351056289883104,32.78889123492401,13.562165054959095,NaN
1524960000,683.5,700.49,665.28,690.85,48.8452701766729,36.959425140293625,11.885845036379273,NaN
1525046400,690.85,695.3,662.2,670.78,48.64175945918146,40.38994496009079,8.25181449909067,NaN
1525132800,670.78,675.6,627.58,672,48.025313632552184,43.07014076111474,4.955172871437441,NaN
1525219200,671.99,691.99,663,688.56,48.31607187513555,45.06448059654816,3.251591278587391,NaN
1525305600,688.55,792.08,685.39,779,55.20785030593299,46.79965938452601,8.408190921406984,NaN
1525392000,779,810,756.91,785.99,60.53584935791457,49.11479067999997,11.421058677914601,NaN
1525478400,785.8,832.66,781.56,819.5,66.69350275353645,51.76928181384552,14.924220939690933,NaN
1525564800,819.5,839.99,752.49,794.3,68.74757874436796,54.59602806613081,14.151550678237143,NaN
1525651200,794.3,799.14,701,752.49,66.23817869451386,56.80570833331201,9.432470361201851,NaN
1525737600,753,777,720.02,748.99,63.238071205944266,58.4049084476755,4.833162758268763,NaN
1525824000,748.99,760.74,710.26,751.75,60.387068800871816,59.70994281897442,0.6771259818973974,NaN
1525910400,752.4,769.88,720,722.52,55.13346784190196,60.49973773112439,-5.36626988922243,60.49973773112439
1525996800,722.52,737.23,663,676.96,46.75468113226009,60.32624987080491,-13.57156873854482,NaN
1526083200,676.96,690.2,633.2,684.11,40.22765814171714,58.661784074780925,-18.434125933063783,NaN
1526169600,684.56,742,666.31,729.08,38.242809267169605,56.1847796202537,-17.941970353084095,NaN
1526256000,729.08,743.9,686,727.49,36.1250751430407,52.78828766353195,-16.66321252049125,NaN
1526342400,727.49,740,695,704.91,32.25294641168,48.73332851545551,-16.48038210377551,NaN
1526428800,704.91,712.84,673.52,706.29,28.961757845381044,44.59150397666298,-15.629746131281934,NaN
1526515200,706.8,719.25,662,667.62,22.968356457592677,40.117091226846135,-17.14873476925346,NaN
1526601600,667.62,694.9,656,692.6,20.00363051037857,35.63004252790244,-15.626412017523869,NaN
1526688000,693.26,717.8,682.31,697,17.803875075833275,31.482309998339254,-13.678434922505978,NaN
1526774400,697,729.88,688.4,716.16,17.405959848473344,28.221340966807393,-10.815381118334049,NaN
